Box,Name,Model,Description,Quantity,Link,Supplier
White Box,Multimeter,Sealy MM18,Pocket digital multimeter,1,,
,,,,,,
Electrons,Battery, ,AA battery,1,,
Electrons,Resistor,,1k Ohm resistor,2,,
Electrons,Breadboard(400),,400 tie point small solder-less breadboard,1,,
Electrons,Light bulb,,Incandescent mini light bulb,,,
Electrons,Potentiometer,,Variable resistor,1,,
,,,,,,
Sensors,Photoresistor,,Light dependent resistor,2,,
Sensors,Thermistor,,,,,
Sensors,Microphone,,,,,
Sensors,Piezo,,Piezo force sensor,1,,
,,,,,,
Motors,DC motor,,Brushed DC motor,1,,
Motors,Piezo speaker,,Pizeo speaker,1,,
,,,,,,
Amplifiers,MOSFET,IFR510,"Power MOSFET, N-channel, 50V max",2,,
Amplifiers,Diode,,,2,,
Amplifiers,LED,,,2,,
Amplifiers,Breadboard(170),,170 tie point small solder-less breadboard,2,,
,,,,,,
Reflexes,Motor,FIT0483,"Brushed DC motor with gearbox, 6V, 1:100, 155 RPM with encoder",2,https://www.dfrobot.com/product-1433.html,https://www.dfrobot.com/product-1433.html
Reflexes,Body,,"Laser cut base, 5 mm clear acrylic",1,custom,custom
Reflexes,Motor Mount,1089,Motor mounts and mounting hardware,2,https://www.pololu.com/product/1089,https://www.hobbytronics.co.uk/mm-gearmotor-bracket-ext
Reflexes,Battery holder,202,4xAA battery holder with ON-OFF switch,1,https://www.dfrobot.com/product-202.html,https://www.dfrobot.com/product-202.html
Reflexes,Wheels,1420,"60 mm x 8 mm wheels, black",2,https://www.pololu.com/product/1420,https://www.hobbytronics.co.uk/wheel-60-8mm
Reflexes,Caster,955,¾” metal ball caster,1,https://www.pololu.com/product/955,https://www.hobbytronics.co.uk/ball-caster-metal?keyword=caster
Reflexes,Cable,,6-way JST cable to male pins,2,,
Reflexes,Spacer,,5 mm spacer for mounting ball caster,3,custom,
Reflexes,Screws (caster),,M2 25 mm screws for mounting ball caster to body via spacers,2,,
Reflexes,Screws (motor),,M2 10 mm screws for mounting motor/mount to body,4,,
Reflexes,Nuts (motor),,M2 nuts for mounting motor/mount to body,4,,
,,,,,,
Decisions,Transistor,,Another FET?,,,
,,,,,,
Data,ADC,,,,,
,,,,,,
Logic,Logic gate,,,,,
,,,,,,
Memory,D flip flop,,,,,
,,,,,,
Computers,Arduino UNO,,...or Nano,,,
Computers,USB cable,,Micro USB cable,,,
,,,,,,
Behaviour,Bumpers,,Bump sensors,,,
Behaviour,Sensors,,Other sensors,,,
,,,,,,
Systems,SBC,,Raspberry Pi 4b,,,
Systems,Power supply,,"5V, 3A power supply",,,
,,,,,,
Networks,Wifi Shield,,Arduino WiFi shield,,,
,,,,,,
Vision,Camera,,Raspberry Pi HQ camera,,,
Vision,Base,,Camera and SBC mounting base,,,
,,,,,,
Learning,Clicker,,Clicker,,,
Learning,Microphone,,Microphone for raspberry pi,,,
,,,,,,
Intelligence,NPU,,Coral USB neural processing unit,,,
