contents,,,,
Microcontroller,Arduino Nano (rev.3),1,_data/datasheets/arduino_nano_rev3.pdf,https://uk.farnell.com/arduino/a000005/arduino-nano-evaluation-board/dp/1848691
Cable (MiniUSB-1m),Mini-USB to Type-A cable (1 m),1,_data/datasheets/mini_USB_cable_1m.pdf,https://uk.farnell.com/molex/88732-8602/usb-cable-2-0-plug-plug-1m/dp/1221071
Piezo Buzzer,Piezoelectric speaker/buzzer,1,_data/datasheets/piezo_speaker.pdf,https://uk.farnell.com/kingstate/kpeg110/piezo-transducer/dp/1193641
,,,,
required,,,,
Multimeter,(Sealy MM18) pocket digital multimeter,1,white,
Test Lead,Alligator clip to 0.64 mm pin (20 cm),2,white,
Jumper kit,Kit of multi-length 22 AWG breadboard jumpers,1,electrons,
Jumper wires,Assorted 22 AWG jumper wire leads (male/female),1,electrons,
Photoresistor,Light-dependent resistor,2,sensors,
DC Motor,Brushed DC motor,1,motors,
Whistle,Motor shaft attachment,1,motors,
