name,slug,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
NB3 Body,NB3_Body,NB3 robot base PCB,1,/boxes/electrons/NB3_body,VK,Body (000),200,200,11,30.0,20.0,60,5
Resistor (470),Resistor_470,470 &Omega;/0.25 W,2,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,Passive Electronics,50,2,2,0.0685,0.0498,0,0
Resistor (1k),Resistor_1k,1 k&Omega;/0.25 W,2,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-1k/res-1k-1-250mw-axial-metal-film/dp/9341102,Passive Electronics,50,2,2,0.0702,0.051,0,0
Resistor (10k),Resistor_10k,10 k&Omega;/0.25 W,2,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110,Passive Electronics,50,2,2,0.0696,0.0504,0,0
Button,Button,Tactile switch,2,/boxes/electrons/_resources/datasheets/button.pdf,https://uk.farnell.com/omron/b3f-1000/switch-spno-0-05a-24v-tht-0-98n/dp/176432,Passive Electronics,5,5,3,0.2148,0.1788,0,0
Potentiometer,Potentiometer,2.2 k&Omega; variable resistor,2,/boxes/electrons/_resources/datasheets/pot_2k2.pdf,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599,Passive Electronics,5,5,3,0.9708,0.72,630,0
Breadboard (400),Breadboard_400,400-tie solderless breadboard,1,/boxes/electrons/_resources/datasheets/breadboard_400.pdf,https://www.amazon.co.uk/gp/product/B0739XRX8F,Small (010),85,60,10,4.0,2.3,16,0
Breadboards (170),Breadboards_170,170-tie solderless breadboard,4,/boxes/electrons/_resources/datasheets/breadboard_170.pdf,https://www.amazon.co.uk/ELEGOO-tie-points-Breadboard-Breadboards-Electronic/dp/B01N0YWIR7,Small (010),35,50,10,2.0,1.0,16,0
Batteries (AA),Batteries_AA,AA 1.5 V alkaline battery,4,/boxes/electrons/,https://www.amazon.co.uk/Duracell-Optimum-Alkaline-Batteries-MX1500/dp/B093Q5XY66,Auxiliary,60,15,15,5.75,3.0,0,0
Battery holder,Battery_holder,4xAA battery holder with ON-OFF switch,1,/boxes/electrons/,https://www.amazon.co.uk/gp/product/B0814ZH68F,Small (010),65,70,20,3.0,2.0,8,3
Jumper Kit,Jumper_Kit,Kit of multi-length 22 AWG breadboard jumpers,1,/boxes/electrons/_resources/datasheets/jumper_kit.pdf,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338,Large (100),170,55,15,5.976,4.296,10,18
Jumper Wires,Jumper_Wires,Assorted 22 AWG jumper wire leads (male/female),1,/boxes/electrons/_resources/datasheets/jumper_wires.pdf,https://www.amazon.co.uk/gp/product/B09KR7Z4PF,Cables (001),200,40,10,4.0,3.75,50,20
Test Lead,Test_Lead,Alligator clip to 0.64 mm pin (20 cm),2,/boxes/electrons/,https://www.amazon.co.uk/gp/product/B096JR15JW,Cables (001),220,20,10,1.5,0.85,132,1
Rubber feet,Rubber_Feet,Adhesive rubber standoffs (1421T6CL),4,/boxes/electrons/_resources/datasheets/rubber_feet.pdf,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522,Passive Electronics,20,20,4,0.2965,0.229,0,0
