contents,,,,
Mic (MEMS), I2S mems microphone board (SPH0645),2,_data/datasheets/i2s-class-d-mono-amp.pdf,https://www.adafruit.com/product/3421
Amp (Audio), I2S mono-amplifier (3 Watts/4 Ohms),2,_data/datasheets/i2s-class-d-mono-amp.pdf,https://www.amazon.co.uk/gp/product/B01K5GCFA6
Speaker (3W),3-Watt enclosed speaker,2,,https://www.amazon.co.uk/gp/product/B0822XCPT8
Speaker mount,Custom lasrer cut speaker mount,2,,
M3 screw (20), 20 mm long M3 screw with phillips socket,2,,
M3 screw (25), 25 mm long M3 screw with phillips socket,8,,
M3 nut, M3 nut,12,,
,,,,
required,,,,
Multimeter,(Sealy MM18) pocket digital multimeter,1,white,
