"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"G***";"Logo_VK_15mm";1;"LOGO";;;
2;"BT6,BT2,BT4,BT5,BT1,BT3";"AA_Battery_Holder_1028";6;"1028";;;
3;"J4,J5,J6,J3";"PinHeader_1x02_P2.54mm_Vertical";4;"Conn_01x02_Pin";;;
4;"C12,C14,C15,C13";"C_0805_2012Metric";4;"10uF";;;
5;"T1";"Thermistor_NTC_NTCG163JF103FT1";1;"NTCG163JF103FT1";;;
6;"R2";"R_0402_1005Metric";1;"10R";;;
7;"R6";"R_0402_1005Metric";1;"1.6k";;;
8;"C6,C4,C3,C18,C19,C1,C5,C17,C2,C20";"C_0805_2012Metric";10;"10uF 35v";;;
9;"D2";"LED_0603_1608Metric";1;"LED (Red)";;;
10;"C16";"CP_EIA-7343-31_Kemet-D";1;"100uF";;;
11;"H3,H2,H4,H1";"MountingHole_2.7mm_M2.5_ISO7380_Pad";4;"MountingHole";;;
12;"R3";"R_0402_1005Metric";1;"20K 1%";;;
13;"SW2,SW1";"Switch_SPDT_SMD_Slide_JS102011JCQN";2;"SW_SPDT";;;
14;"R1,R7";"R_0402_1005Metric";2;"5.6k";;;
15;"J1";"Barrel_Jack_TH_XUNPU_DC-005-A200";1;"Barrel_Jack-DC-5.5-2.1";;;
16;"C10";"C_0402_1005Metric";1;"1.2nF";;;
17;"R11,R10";"R_0402_1005Metric";2;"15K 1%";;;
18;"D1";"LED_0603_1608Metric";1;"LED (Green)";;;
19;"C9,C11";"C_0402_1005Metric";2;"1nF";;;
20;"C7,C8";"C_0402_1005Metric";2;"100nF";;;
21;"R8";"R_0402_1005Metric";1;"3.6K 1%";;;
22;"CR1,CR2";"Schottky_PMEG3050EP,115";2;"Schottky_PMEG3050EP,115";;;
23;"U2";"NiMH_Charger_BQ25172DSGR";1;"BQ25172DSGR";;;
24;"Q1";"PMOS_SMD_FDC658AP";1;"PMOS_FDC658AP";;;
25;"R4";"R_0402_1005Metric";1;"12K 1%";;;
26;"D3";"LED_0603_1608Metric";1;"LED (Yellow)";;;
27;"L1";"L_Bourns_SRN6045TA";1;"SRN6045TA-2R2Y";;;
28;"R5";"R_0402_1005Metric";1;"2.2K 1%";;;
29;"U1";"Voltage_Regulator_AP64501";1;"Voltage_Regulator_AP64501";;;
30;"R9";"R_0402_1005Metric";1;"1.5K 1%";;;
31;"J2";"Connector_B4B-PH-K-S(LF)(SN)";1;"B4B-PH-K-S";;;
