"Id";"Designator";"Footprint";"Quantity";"Designation"; "Supplier  and  ref" 
2;"C12,C14,C15,C13";"C_0805_2012Metric";4;"10uF";
3;"R2";"R_0402_1005Metric";1;"10R";
4;"R6";"R_0402_1005Metric";1;"1.6k";
5;"C6,C4,C3,C1,C5,C2";"C_0805_2012Metric";6; "10uF  35v" ;
6;"D2";"LED_0603_1608Metric";1; "LED  (Red)" ;
7;"C16";"CP_EIA-7343-31_Kemet-D";1;"100uF";
8;"R3";"R_0402_1005Metric";1; "20K  1%" ;
9;"R1";"R_0402_1005Metric";1;"5.6k";
10;"J1";"Barrel_Jack_PJ-036AH-SMT-TR";1;"Barrel_Jack_PJ-036AH-SMT-TR";
11;"SW1";"Switch_SPDT_SMD_Slide_JS102011JCQN";1;"SW_SPDT";
12;"C10";"C_0402_1005Metric";1;"1.2nF";
13;"J3";"PinHeader_1x02_P2.54mm_Horizontal";1;"Conn_01x02_Pin";
14;"D1";"LED_0603_1608Metric";1; "LED  (Green)" ;
15;"C9,C11";"C_0402_1005Metric";2;"1nF";
16;"C7,C8";"C_0402_1005Metric";2;"100nF";
17;"R4";"R_0402_1005Metric";1; "12K  1%" ;
18;"L1";"L_Bourns_SRN6045TA";1;"SRN6045TA-2R2Y";
19;"R5";"R_0402_1005Metric";1; "2.2K  1%" ;
20;"J2";"Connector_S4B-PH-SM4-TB(LF)(SN)";1;"Connector_S4B-PH-SM4-TB(LF)(SN)";
21;"U1";"Voltage_Regulator_AP64501";1;"Voltage_Regulator_AP64501";
