Motor (Geared),Brushed DC motor with gearbox - 6V/1:100/155 RPM with encoder (FIT0483),2,https://www.dfrobot.com/product-1433.html,https://www.dfrobot.com/product-1433.html
Motor Mount,Motor mounts and mounting hardware (1089),2,https://www.pololu.com/product/1089,https://www.hobbytronics.co.uk/mm-gearmotor-bracket-ext
Wheels,60 mm x 8 mm wheels (black),2,https://www.pololu.com/product/1420,https://www.hobbytronics.co.uk/wheel-60-8mm
Caster,¾” metal ball caster,1,https://www.pololu.com/product/955,https://www.hobbytronics.co.uk/ball-caster-metal?keyword=caster
Custom Cable,6-way JST cable to male pins,2,,
Spacer,NB3 spacer 3 mm spacer for mounting ball caster,5,NB3_spacer,
Screws (caster),M2 25 mm screws for mounting ball caster to body via spacers,2,,
Nuts (caster),M2 nuts for mounting ball caster to body,2,,
Screws (motor),M2 12 mm screws for mounting motor/mount to body,4,,
Nuts (motor),M2 nuts for mounting motor/mount to body,4,,
Breadboards (170),170-tie solderless breadboard,4,_data/datasheets/breadboard_170.pdf,https://uk.farnell.com/multicomp/mc001799/breadboard-34-5mm-x-45-5mm-white/dp/2770327
