name,slug,depth,description,quantity,datasheet,supplier,package,x,y,z,unit_price,bulk_price,new,used
MOSFET (10V),MOSFET__10V_,01,Power MOSFET/N-channel (IRF510),1,/boxes/transistors/_resources/datasheets/IRF510.pdf,https://uk.farnell.com/vishay/irf510pbf/mosfet-n-100v-5-6a-to-220ab/dp/1653658,Active Electronics,40,15,4,0.984,0.5412,6,21
MOSFET (5V),MOSFET__5V_,01,Power MOSFET/N-channel (IRL510),1,/boxes/transistors/_resources/datasheets/IRL510.pdf,https://uk.farnell.com/vishay/irl510pbf/mosfet-n-logic-to-220/dp/9102779,Active Electronics,40,15,4,1.296,0.7476,165,0
Diode,Diode,01,IN4001,2,/boxes/transistors/_resources/datasheets/IN4001.pdf,https://uk.farnell.com/on-semiconductor/1n4001g/diode-standard-1a-do-41/dp/1458986,Active Electronics,40,5,3,0.1656,0.0588,238,0
Photodiode (Visible),Photodiode__Visible_,10,Visible (broadband) photodiode,2,/boxes/transistors/,https://uk.farnell.com/vishay/tefd4300/photodiode-950nm-3mm/dp/2251271,Active Electronics,40,5,3,0.6972,0.258,20,0
Photodiode (IR),Photodiode__IR_,10,IR sensitive photodiode,2,/boxes/transistors/,https://uk.farnell.com/osram-opto-semiconductors/sfh203-fa/photodiode-ir-filtered/dp/1212743,Active Electronics,40,5,3,0.684,0.3552,38,0
LED (Blue),LED__Blue_,10,Low power blue light emitting diode,2,/boxes/transistors/,https://uk.farnell.com/broadcom-limited/hlmp-ka45-e0000/led-3mm-blue-85mcd-470nm/dp/1863182,Active Electronics,40,5,3,0.7584,0.4992,42,0
LED (IR),LED__IR_,10,Low power IR light emitting diode,2,/boxes/transistors/,https://uk.farnell.com/vishay/tsal6100/infrared-emitter-940nm-t-1-3-4/dp/1328299,Active Electronics,40,5,3,0.3768,0.138,37,0
LED (Red),LED__Red_,01,3 mm/2 mA red LED,2,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1700/led-3mm-red-2-1mcd-626nm/dp/1003207,Active Electronics,50,5,3,0.6036,0.1812,185,0
LED (Yellow),LED__Yellow_,01,3 mm/2 mA yellow LED,2,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1719/led-3mm-yellow-2-1mcd-585nm/dp/1003208,Active Electronics,50,5,3,0.5148,0.1548,170,0
LED (Green),LED__Green_,01,3 mm/2 mA green LED,2,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1790/led-3mm-green-2-3mcd-569nm/dp/1003209,Active Electronics,50,5,3,0.6948,0.2208,120,0
Resistor (470),Resistor__470_,01,470 &Omega;/0.25 W,2,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,Passive Electronics,50,5,3,0.0685,0.0498,0,0
