contents,,,,
Camera (RPiv2),Raspberry Pi 8 MP camera,1,_data/datasheets/rpi_camera_v2.pdf,https://uk.farnell.com/raspberry-pi/rpi-8mp-camera-board/raspberry-pi-camera-board-v2/dp/2510728
Mount,Laser-cut camera mount,1,,
M2 screw (12), 12 mm long M1 screw with phillips socket,4,,
M2 nut, M2 nut,4,,
M2 washer,nylon washer 2-3 mm inner diameter,4,,
M3 screw (20), 20 mm long M3 screw with phillips socket,2,,
M3 nut, M3 nut,4,,
,,,,
required,,,,
Multimeter,(Sealy MM18) pocket digital multimeter,1,white,
