contents,,,,
Computer (RPi4),Raspberry Pi 4b with 4 GB RAM,1,_data/datasheets/rpi4b_4gb.pdf,https://uk.farnell.com/raspberry-pi/rpi4-modbp-4gb/raspberry-pi-4-model-b-4gb/dp/3051887
Case,Silver aluminum heatsink case (Akasa Gem Pro),1,https://www.akasa.co.uk/search.php?seed=A-RA09-M2S,https://www.amazon.co.uk/gp/product/B089GVMK37/ref=ox_sc_act_title_1?smid=AHX2VT4JA3HIX&psc=1
Power supply,5V/3A (15W) USB Type-C power supply,1,_data/datasheets/rpi_power_supply_5V3A.pdf,https://uk.farnell.com/raspberry-pi/sc0212/rpi-power-supply-usb-c-5-1v-3a/dp/3106940
Cable (HDMI),micro to full HDMI cable (1 m),1,_data/datasheets/hdmi_cable_micro_1m.pdf,https://uk.farnell.com/raspberry-pi/t7689ax/cable-micro-hdmi-hdmi-plug-1m/dp/3107125
SD card,32 GB micro SD card,1,_data/datasheets/SanDisk-SDSQXCG-032G-GN6MA-datasheet.pdf,https://www.amazon.co.uk/dp/B06XYHN68L/ref=twister_B07J6Z8HHM?_encoding=UTF8&th=1&qty=15
Multimeter,(Sealy MM18) pocket digital multimeter,1,_data/datasheets/MM18_DFC0123042.pdf,https://www.ffx.co.uk/tools/product/Sealey-Mm18-5051747848412-Pocket-Multimeter
Test Lead,Alligator clip to 0.64 mm pin (20 cm),2,,https://www.amazon.co.uk/Oiyagai-Alligator-Crocodile-Arduino-Raspberry/dp/B07CXTSX8R/ref=sr_1_2?dchild=1&keywords=Oiyagai-Alligator-Crocodile-Arduino-Raspberry&qid=1598887302&s=computers&sr=1-2
Screwdriver,Phillips driver (size #1),1,_data/datasheets/screwdriver_phillips_1.pdf,https://uk.farnell.com/wera/118024/screwdriver-precision-ph1x80mm/dp/1337805
Camera (RPiHQ),Raspberry Pi high quality 12.3 MP camera,1,_data/datasheets/rpi_camera_hq.pdf,https://uk.farnell.com/raspberry-pi/rpi-hq-camera/rpi-high-quality-camera-12-3-mp/dp/3381605
Lens (6mm),CS-mount wide-angle lens (F1.2/FL 6 mm),1,_data/datasheets/lens_cs_mount_6mm.pdf,https://uk.farnell.com/raspberry-pi/rpi-6mm-lens/rpi-6mm-wide-angle-lens/dp/3381607
Tripod,Small tripod with camera mount (white),1,https://www.manfrotto.com/uk-en/pixi-mini-tripod-white-mtpixi-wh/,https://www.amazon.co.uk/Manfrotto-PIXI-Mini-Tripod-White/dp/B00GUND8XM
,,,,
required,,,,
Monitor,Display with HDMI input,1,,
Keyboard,USB keyboard,1,,
Mouse,USB mouse,1,,
