Part,Level,Description,Quantity,Datasheet,Supplier,Package,x(mm),y(mm),z(mm)
,,,,,,,,
atoms,,,,,,,,
Periodic Table,01,Periodic Table business card,1,card,VK,Loose,40,60,0.5

electrons,,,,,,,,
NB3 Body,01,NB3 robot base PCB,1,NB3_body,VK,Loose,200,200,15
Resistor (470),01,470 &Omega;/0.25 W,1,_data/datsheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,Passive,50,5,3
Resistor (10k),01,10 k&Omega;/0.25 W,2,_data/datsheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110,Passive,50,5,3
Potentiometer,01,2.2 k&Omega; variable resistor,2,_data/datasheets/pot_2k2.pdf,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599,Passive,5,5,3
Breadboard (400),01,400-tie solderless breadboard,1,_data/datasheets/breadboard_400.pdf,https://www.amazon.co.uk/gp/product/B0739XRX8F,Loose,85,60,10
Batteries (AA),01,AA 1.5 V alkaline battery,4,,,Loose,60,15,15
Battery holder,01,4xAA battery holder with ON-OFF switch,1,,https://www.amazon.co.uk/gp/product/B0814ZH68F,Loose,65,70,20
Jumper Kit,01,Kit of multi-length 22 AWG breadboard jumpers,1,_data/datasheets/jumper_kit.pdf,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338,Loose,170,55,15
Jumper Wires,01,Assorted 22 AWG jumper wire leads (male/female),1,_data/datasheets/jumper_wires.pdf,https://www.amazon.co.uk/240pcs-Solderless-Breadboard-Arduino-Project/dp/B08PJSTS3C,Loose,200,40,10
Test Lead,01,Alligator clip to 0.64 mm pin (20 cm),2,,https://www.amazon.co.uk/gp/product/B096JR15JW,Loose,220,20,10
Rubber feet,01,Adhesive rubber standoffs (1421T6CL),4,_data/datasheets/rubber_feet.pdf,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522,Passive,20,20,4

magnets,,,,,,,,
Magnet Wire,01,Narrow gaurge epoxy insulated (1 m),1,,https://www.amazon.co.uk/Enameled-Magnet-Soldering-Winding-Enamelled/dp/B07N65LRVD,Passive,30,30,20
Magnet,01,Neodymium disc (8 mm x 3 mm),2,,https://uk.farnell.com/duratool/d01766/magnets-rare-earth-8-x-3mm-pk10/dp/1888095,Magnets,20,20,5
USB Sound Card,01,USB to 3.5 mm Audio out/in,1,,https://www.amazon.co.uk/UGREEN-Headphone-Microphone-Raspberry-Ultrabook/dp/B01N905VOY,Loose,150,90,15
Stereo Plug Terminal,01,3.5 mm plug to screw terminal,2,,https://www.amazon.co.uk/dp/B07MNYBFL9,Loose,40,20,15

light,,,,,,,,

sensors,,,,,,,,
Photoresistor (LDR),01,Light-dependent resistor (GL5516 and GL5528),8,,https://www.amazon.co.uk/Resistor-Dependent-Photoresistor-Sensitive-Sensors/dp/B08SC1M7V7,Passive,50,10,3
Breadboards (170),01,170-tie solderless breadboard,4,_data/datasheets/breadboard_170.pdf,https://www.amazon.co.uk/ELEGOO-tie-points-Breadboard-Breadboards-Electronic/dp/B01N0YWIR7,Loose,35,50,10

motors,,,,,,,,
DC Brushed Motor,01,6V Brushed DC motor,1,,https://www.amazon.co.uk/Gikfun-1V-6V-Hobby-Arduino-EK1894/dp/B07BHHP2BT,Loose,20,40,15
Servo Mount,01,Mount for servo motor,2,,VK,Mounts,30,15,5
Servo Motor,01,FT90R Digital Micro Continuous Rotation Servo,2,,https://www.pololu.com/product/2817,Loose,100,70,15
Servo Wheel,01,Wheels (70x8mm) for servos,2,,https://www.pololu.com/product/4925,Loose,100,70,15
M2.5 bolt (6),01,6 mm long M2.5 bolt,8,,https://www.accu.co.uk/pozi-pan-head-screws/9255-SPP-M2-5-6-A2,Hardware,5,5,6
