Part,Description,Quantity,Package,#Kits,#Required,#Available,#Order,#Ordered,Supplier,x(mm),y(mm),z(mm)
MOSFET,Power MOSFET/N-channel (IRF510),2.0,Active,15,30,0,0,0,https://uk.farnell.com/vishay/irf510pbf/mosfet-n-100v-5-6a-to-220ab/dp/1653658,40.0,15.0,4.0
LED (Red),5 mm/2 mA red LED,2.0,Active,15,30,0,0,0,https://uk.farnell.com/broadcom-limited/hlmp-4700/led-5mm-red-2-3mcd-626nm/dp/1003232,50.0,5.0,3.0
LED (Green),3 mm/2 mA green LED,2.0,Active,15,30,0,0,0,https://uk.farnell.com/broadcom-limited/hlmp-1790/led-3mm-green-2-3mcd-569nm/dp/1003209,50.0,5.0,3.0
Diode,IN4001,2.0,Active,15,30,0,0,0,https://uk.farnell.com/on-semiconductor/1n4001g/diode-standard-1a-do-41/dp/1458986,40.0,5.0,3.0
NB3 Mouth,I2S DAC-AMP breakout board,1.0,Audio,15,15,0,0,0,VK,20.0,20.0,20.0
NB3 Ear,I2S mems microphone breakout board,2.0,Audio,15,30,0,0,0,VK,20.0,20.0,20.0
M2.5 standoff (7/PS),7 mm long plug-to-socket M2.5 standoff,4.0,Hardware,15,60,0,0,0,https://uk.farnell.com/wurth-elektronik/971070151/standoff-hex-male-female-7mm-m2/dp/2884371,5.0,5.0,7.0
M2.5 standoff (20/SS),20 mm long socket-to-socket M2.5 standoff,4.0,Hardware,15,60,0,0,0,https://uk.farnell.com/wurth-elektronik/970200154/standoff-hex-female-female-20mm/dp/2987903,5.0,5.0,20.0
M2.5 standoff (20/PS),20 mm long plug-to-socket M2.5 standoff,4.0,Hardware,15,60,0,0,0,https://uk.farnell.com/wurth-elektronik/971200151/standoff-hex-male-female-20mm/dp/2884418,5.0,5.0,20.0
M2.5 standoff (12/SS),12 mm long socket-to-socket M2.5 standoff,4.0,Hardware,15,60,0,0,0,https://uk.farnell.com/wurth-elektronik/970120151/standoff-hex-female-female-12mm/dp/2884528,5.0,5.0,12.0
M2.5 nut,regular M2.5 nut,6.0,Hardware,15,90,0,0,0,https://www.accu.co.uk/hexagon-nuts/456430-HPN-M2-5-C8-Z,5.0,5.0,3.0
M2.5 bolt (6),6 mm long M2.5 bolt,22.0,Hardware,15,330,0,0,0,https://www.accu.co.uk/pozi-pan-head-screws/9255-SPP-M2-5-6-A2,5.0,5.0,6.0
M2 nut,regular M2 nut,4.0,Hardware,15,60,0,0,0,https://www.accu.co.uk/hexagon-nuts/456429-HPN-M2-C8-Z,5.0,5.0,3.0
M2 bolt (8),8 mm long M2 bolt,4.0,Hardware,15,60,0,0,0,https://www.accu.co.uk/pozi-pan-head-screws/500101-SPP-M2-8-ST-BZP,5.0,5.0,8.0
M3 nut (square),square M3 nut 1.8 mm thick,3.0,Hardware,15,45,0,0,0,https://www.accu.co.uk/flat-square-nuts/21326-HFSN-M3-A2,5.0,5.0,3.0
M3 standoff (15/PS),15 mm long plug-to-socket M3 standoff,2.0,Hardware,15,30,0,0,0,https://uk.farnell.com/ettinger/05-13-151/spacer-m3x15-vzk/dp/1466726,5.0,5.0,15.0
M3 bolt (12),12 mm long M3 bolt,1.0,Hardware,15,15,0,0,0,https://www.accu.co.uk/pozi-pan-head-screws/500116-SPP-M3-12-ST-BZP,5.0,5.0,12.0
M3 bolt (6),6 mm long M3 bolt,2.0,Hardware,15,30,0,0,0,https://www.accu.co.uk/pozi-pan-head-screws/500113-SPP-M3-6-ST-BZP,5.0,5.0,6.0
Microcontroller,Arduino Nano (rev.3),1.0,Loose,15,15,0,0,0,https://uk.farnell.com/arduino/a000005/arduino-nano-evaluation-board/dp/1848691,82.0,60.0,25.0
