name,slug,depth,description,quantity,package,datasheet,supplier,x,y,z,unit_price,bulk_price,new,used
Comparator,Comparator,10,LM339 (DIP-14),2,Active,/boxes/data/_resources/datasheets/lm2901.pdf,https://uk.farnell.com/texas-instruments/lm2901n/ic-comparator-quad-2901-dip14/dp/3118410,7,6,5,0.8568,0.5568,83,0
Diode,Diode,01,IN4001,2,Active,/boxes/transistors/_resources/datasheets/IN4001.pdf,https://uk.farnell.com/on-semiconductor/1n4001g/diode-standard-1a-do-41/dp/1458986,40,5,3,0.1656,0.0588,238,0
Gate (AND),Gate__AND_,10,4xAND gate,1,Active,/boxes/logic/_resources/datasheets/AND_gates.pdf,https://uk.farnell.com/texas-instruments/cd4081be/ic-4000-cmos-4081-dip14-18v/dp/3120147,10,20,8,1.356,0.9984,7,0
Gate (NAND),Gate__NAND_,10,4xNAND gate,2,Active,/boxes/memory/_resources/datasheets/NAND_gates.pdf,https://uk.farnell.com/texas-instruments/cd4011be/ic-4000-cmos-4011-dip14-18v/dp/3120113,10,20,8,0.7536,0.4188,40,0
Gate (NOR),Gate__NOR_,10,4xNOR gate,1,Active,/boxes/logic/_resources/datasheets/NOR_gates.pdf,https://uk.farnell.com/texas-instruments/cd4001be/ic-nor-quad-4000-cmos-14dip/dp/3120100,10,20,8,0.7788,0.4284,8,0
Gate (OR),Gate__OR_,10,4xOR gate,1,Active,/boxes/logic/_resources/datasheets/OR_gates.pdf,https://uk.farnell.com/texas-instruments/cd4072be/ic-gate/dp/3120138,10,20,8,1.68,1.0884,11,0
Gate (XOR),Gate__XOR_,10,4xXOR gate,1,Active,/boxes/logic/_resources/datasheets/XOR_gates.pdf,https://uk.farnell.com/texas-instruments/cd4070be/ic-4000-cmos-4070-dip14-18v/dp/3120134,10,20,8,0.8784,0.4788,9,0
H-bridge,H_bridge,10,H-bridge motor driver (SN754410NE),2,Active,/boxes/control/_resources/datasheets/sn754410.pdf,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN754410NE,8,25,6,2.05,1.25,123,0
LED (Blue),LED__Blue_,10,Low power blue light emitting diode,2,Active,/boxes/transistors/,https://uk.farnell.com/broadcom-limited/hlmp-ka45-e0000/led-3mm-blue-85mcd-470nm/dp/1863182,40,5,3,0.7584,0.4992,42,0
LED (Green),LED__Green_,01,3 mm/2 mA green LED,4,Active,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1790/led-3mm-green-2-3mcd-569nm/dp/1003209,50,5,3,0.6948,0.2208,120,0
