name,depth,description,quantity,#kits,#required,#available,#order,#ordered,package,datasheet,supplier,x,y,z,unit_price,bulk_price
Diode,1,IN4001,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/IN4001.pdf,https://uk.farnell.com/on-semiconductor/1n4001g/diode-standard-1a-do-41/dp/1458986,40,5,3,,
LED (Green),1,3 mm/2 mA green LED,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1790/led-3mm-green-2-3mcd-569nm/dp/1003209,50,5,3,,
LED (Red),1,3 mm/2 mA red LED,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-4700/led-5mm-red-2-3mcd-626nm/dp/1003232,50,5,3,,
LED (Yellow),1,3 mm/2 mA yellow LED,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1719/led-3mm-yellow-2-1mcd-585nm/dp/1003208,50,5,3,,
MOSFET (10V),1,Power MOSFET/N-channel (IRF510),1,15,15,0,0,0,Active,/boxes/transistors/_resources/datasheets/IRF510.pdf,https://uk.farnell.com/vishay/irf510pbf/mosfet-n-100v-5-6a-to-220ab/dp/1653658,40,15,4,,
MOSFET (5V),1,Power MOSFET/N-channel (IRL510),1,15,15,0,0,0,Active,/boxes/transistors/_resources/datasheets/IRL510.pdf,https://uk.farnell.com/vishay/irl510pbf/mosfet-n-logic-to-220/dp/9102779,40,15,4,,
NB3 Ear,1,I2S mems microphone breakout board,4,15,60,0,0,0,Audio,/boxes/audio/NB3_ear,VK,20,20,20,7.0,5.0
NB3 Mouth,1,I2S DAC-AMP breakout board,2,15,30,0,0,0,Audio,/boxes/audio/NB3_mouth,VK,20,20,20,7.0,5.0
Cable (MiniUSB-1m),1,Mini-USB to Type-A cable (1 m),1,15,15,0,0,0,Cables,/boxes/computers/,https://uk.farnell.com/molex/88732-8602/usb-cable-2-0-plug-plug-1m/dp/1221071,100,50,15,,
Cable (MiniUSB-20cm),1,Short mini-USB to Type-A cable (20 cm),1,15,15,0,0,0,Cables,/boxes/networks/,https://www.amazon.co.uk/LINDY-0-2-Type-Mini-B-Cable/dp/B01IZ4VFCO,100,25,10,,
Jumper Wires,1,Assorted 22 AWG jumper wire leads (male/female),1,15,15,0,0,0,Cables,/boxes/electrons/_resources/datasheets/jumper_wires.pdf,https://www.amazon.co.uk/240pcs-Solderless-Breadboard-Arduino-Project/dp/B08PJSTS3C,200,40,10,,
Test Lead,1,Alligator clip to 0.64 mm pin (20 cm),2,15,30,0,0,0,Cables,/boxes/electrons/,https://www.amazon.co.uk/gp/product/B096JR15JW,220,20,10,,
