name,depth,description,quantity,#kits,#required,#available,#order,#ordered,package,datasheet,supplier,x,y,z,unit_price,bulk_price
Diode,1,IN4001,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/IN4001.pdf,https://uk.farnell.com/on-semiconductor/1n4001g/diode-standard-1a-do-41/dp/1458986,40,5,3,0.1656,0.0588
LED (Green),1,3 mm/2 mA green LED,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1790/led-3mm-green-2-3mcd-569nm/dp/1003209,50,5,3,0.6948,0.2208
LED (Red),1,3 mm/2 mA red LED,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1700/led-3mm-red-2-1mcd-626nm/dp/1003207,50,5,3,0.6036,0.1812
LED (Yellow),1,3 mm/2 mA yellow LED,2,15,30,0,0,0,Active,/boxes/transistors/_resources/datasheets/led_HLMP.pdf,https://uk.farnell.com/broadcom-limited/hlmp-1719/led-3mm-yellow-2-1mcd-585nm/dp/1003208,50,5,3,0.5148,0.1548
MOSFET (10V),1,Power MOSFET/N-channel (IRF510),1,15,15,0,0,0,Active,/boxes/transistors/_resources/datasheets/IRF510.pdf,https://uk.farnell.com/vishay/irf510pbf/mosfet-n-100v-5-6a-to-220ab/dp/1653658,40,15,4,0.984,0.5412
MOSFET (5V),1,Power MOSFET/N-channel (IRL510),1,15,15,0,0,0,Active,/boxes/transistors/_resources/datasheets/IRL510.pdf,https://uk.farnell.com/vishay/irl510pbf/mosfet-n-logic-to-220/dp/9102779,40,15,4,1.296,0.7476
NB3 Ear,1,I2S mems microphone breakout board,2,15,30,0,0,0,Audio,/boxes/audio/NB3_ear,VK,20,20,20,7.0,5.0
NB3 Mouth,1,I2S DAC-AMP breakout board,1,15,15,0,0,0,Audio,/boxes/audio/NB3_mouth,VK,20,20,20,7.0,5.0
Cable (MiniUSB-1m),1,Mini-USB to Type-A cable (1 m),1,15,15,0,0,0,Cables,/boxes/computers/,https://www.amazon.co.uk/gp/product/B07FWF2KBF,100,50,15,3.24,1.94
Cable (MiniUSB-20cm),1,Short mini-USB to Type-A cable (20 cm),1,15,15,0,0,0,Cables,/boxes/networks/,https://www.amazon.co.uk/gp/product/B07FW69HNT,100,25,10,3.02,1.58
Jumper Wires,1,Assorted 22 AWG jumper wire leads (male/female),1,15,15,0,0,0,Cables,/boxes/electrons/_resources/datasheets/jumper_wires.pdf,https://www.amazon.co.uk/gp/product/B09KR7Z4PF,200,40,10,4.0,3.75
Test Lead,1,Alligator clip to 0.64 mm pin (20 cm),2,15,30,0,0,0,Cables,/boxes/electrons/,https://www.amazon.co.uk/gp/product/B096JR15JW,220,20,10,1.5,0.85
M2 bolt (8),1,8 mm long M2 bolt,6,15,90,0,0,0,Hardware,/boxes/audio/,https://www.accu.co.uk/pozi-pan-head-screws/500101-SPP-M2-8-ST-BZP,5,5,8,0.14,0.03
M2 nut,1,regular M2 nut,6,15,90,0,0,0,Hardware,/boxes/audio/,https://www.accu.co.uk/hexagon-nuts/456429-HPN-M2-C8-Z,5,5,3,0.14,0.03
M2.5 bolt (6),1,6 mm long M2.5 bolt,40,15,600,0,0,0,Hardware,/boxes/robotics/,https://www.accu.co.uk/pozi-pan-head-screws/9255-SPP-M2-5-6-A2,5,5,6,0.15,0.04
M2.5 nut,1,regular M2.5 nut,6,15,90,0,0,0,Hardware,/boxes/power/-,https://www.accu.co.uk/hexagon-nuts/456430-HPN-M2-5-C8-Z,5,5,3,0.14,0.03
M2.5 standoff (12/SS),1,12 mm long socket-to-socket M2.5 standoff,6,15,90,0,0,0,Hardware,/boxes/robotics/,https://uk.farnell.com/wurth-elektronik/970120151/standoff-hex-female-female-12mm/dp/2884528,5,5,12,0.606,0.3816
M2.5 standoff (20/PS),1,20 mm long plug-to-socket M2.5 standoff,4,15,60,0,0,0,Hardware,/boxes/vision/,https://uk.farnell.com/wurth-elektronik/971200151/standoff-hex-male-female-20mm/dp/2884418,5,5,20,0.6624,0.534
M2.5 standoff (20/SS),1,20 mm long socket-to-socket M2.5 standoff,4,15,60,0,0,0,Hardware,/boxes/systems/,https://uk.farnell.com/wurth-elektronik/970200154/standoff-hex-female-female-20mm/dp/2987903,5,5,20,0.7368,0.54
M2.5 standoff (25/PS),1,25 mm long plug-to-socket M2.5 standoff,4,15,60,0,0,0,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/971250151/standoff-hex-male-female-25mm/dp/2884431,5,5,36,0.822,0.6144
M2.5 standoff (25/SS),1,25 mm long socket-to-socket M2.5 standoff,2,15,30,0,0,0,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/970250154/standoff-hex-female-female-25mm/dp/2987918,5,5,30,0.9228,0.78
M2.5 standoff (30/PS),1,30 mm long plug-to-socket M2.5 standoff,6,15,90,0,0,0,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/971300151/standoff-hex-male-female-30mm/dp/2884445,5,5,36,0.7152,0.6
M2.5 standoff (30/SS),1,30 mm long socket-to-socket M2.5 standoff,2,15,30,0,0,0,Hardware,/boxes/intelligence/,https://uk.farnell.com/wurth-elektronik/970300154/standoff-hex-female-female-30mm/dp/2987929,5,5,30,1.392,1.1544
M2.5 standoff (7/PS),1,7 mm long plug-to-socket M2.5 standoff,4,15,60,0,0,0,Hardware,/boxes/power/,https://uk.farnell.com/wurth-elektronik/971070151/standoff-hex-male-female-7mm-m2/dp/2884371,5,5,7,0.4836,0.3792
M3 bolt (12),1,12 mm long M3 bolt,1,15,15,0,0,0,Hardware,/boxes/vision/,https://www.accu.co.uk/pozi-pan-head-screws/500116-SPP-M3-12-ST-BZP,5,5,12,0.14,0.03
M3 bolt (6),1,6 mm long M3 bolt,2,15,30,0,0,0,Hardware,/boxes/audio/-,https://www.accu.co.uk/pozi-pan-head-screws/500113-SPP-M3-6-ST-BZP,5,5,6,0.14,0.03
M3 nut (square),1,square M3 nut 1.8 mm thick,3,15,45,0,0,0,Hardware,/boxes/audio/-,https://www.accu.co.uk/flat-square-nuts/21326-HFSN-M3-A2,5,5,3,0.16,0.05
M3 standoff (15/PS),1,15 mm long plug-to-socket M3 standoff,2,15,30,0,0,0,Hardware,/boxes/audio/-,https://uk.farnell.com/ettinger/05-13-151/spacer-m3x15-vzk/dp/1466726,5,5,15,0.3924,0.3444
12V DC Power Supply,1,12 V AC-DC transformer (UK/EU/USA plugs),1,15,15,0,0,0,Loose,/boxes/power/,https://www.amazon.co.uk/gp/product/B09QG4R1R4,100,100,80,12.99,12.99
Batteries (AA),1,AA 1.5 V alkaline battery,4,15,60,0,0,0,Loose,/boxes/electrons/,https://www.amazon.co.uk/Duracell-Optimum-Alkaline-Batteries-MX1500/dp/B093Q5XY66,60,15,15,5.75,3.0
Battery,1,NiMH 9.6V 8-cell 2000 mAh battery,1,15,15,0,0,0,Loose,/boxes/power/,https://www.amazon.co.uk/dp/B091H9ZFSF,100,60,15,16.99,16.99
Battery Cable,1,Barrel Jack to Tamiya Plug,1,15,15,0,0,0,Loose,/boxes/power/,VK,100,15,15,5.0,2.0
Battery Charger,1,NiMH battery charger (UK plug),1,15,15,0,0,0,Loose,/boxes/power/,https://www.amazon.co.uk/dp/B089VRXKWY,90,90,70,15.99,15.99
