Name,Description,QTY,Supplier
Day 1,,,
NB3 Body,NB3 robot base PCB (rev 3),1,VK
Resistor,470 &Omega;/0.25 W,4,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943
Resistor,10 k&Omega;/0.25 W,2,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110
Potentiometer,2.2 k&Omega; variable resistor,2,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599
Breadboard (400),400-tie solderless breadboard,1,https://www.amazon.co.uk/gp/product/B0739XRX8F
Battery holder,4xAA battery holder with ON-OFF switch and male pins,1,https://www.dfrobot.com/product-202.html
AA Battery,1.5 Volt AA Alkaline battery,4,https://www.amazon.co.uk/Duracell-Base-MN1500-Pack-Batteries-black/dp/B002QIGO9U
Jumper kit,Kit of multi-length 22 AWG breadboard jumpers,1,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338
Jumper wires,Assorted 22 AWG jumper wire leads (male/socket) - 240 pcs,1,https://www.amazon.co.uk/240pcs-Solderless-Breadboard-Arduino-Project/dp/B08PJSTS3C/ref=sr_1_18
Test Leads,Alligator clip to 0.64 mm pin (20 cm),2,https://www.amazon.co.uk/gp/product/B096JR15JW
Rubber feet,Adhesive rubber standoffs (1421T6CL),4,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522
Photoresistor (LDR),Light-dependent resistor (GL5516 and GL5528),2,https://www.amazon.co.uk/Resistor-Dependent-Photoresistor-Sensitive-Sensors/dp/B08SC1M7V7/ref=pd_sbs_2
MOSFET,Power MOSFET/N-channel (IRF510),1,https://uk.farnell.com/vishay/irf510pbf/mosfet-n-100v-5-6a-to-220ab/dp/1653658
Diode,IN4001,1,https://uk.farnell.com/on-semiconductor/1n4001g/diode-standard-1a-do-41/dp/1458986
DC motor,1V-6V Dc Motor (Type 130),1,https://www.amazon.co.uk/Gikfun-1V-6V-Hobby-Arduino-EK1894/dp/B07BHHP2BT
Mini Breadboard (170),170-tie solderless breadboard,4,https://www.amazon.co.uk/ELEGOO-tie-points-Breadboard-Breadboards-Electronic/dp/B01N0YWIR7
,,,
Day 2,,,
NB3 Servo mount,Acrylic servo motor mounting bracket,2,VK
M2.5 screw,6 mm M2.5 thread screw ,4,https://www.accu.co.uk/pozi-pan-head-screws/9255-SPP-M2-5-6-A2
M2.5 standoff (12 mm),12 mm socket-to-socket M2.5 standoffs,4,https://uk.farnell.com/wurth-elektronik/970120154/standoff-hex-female-female-12mm/dp/2987851
Servo Motor,FS90R Micro Continuous Rotation Servo w/Wheel,2,https://www.rapidonline.com/feetech-fs90r-servo-and-wheel-37-1336
Caster,"Ÿ"" metal ball caster",1,https://www.pololu.com/product/955
NB3 Spacer,NB3 spacer 3 mm spacer for mounting ball caster,3,VK
NB3 Power Board,Regulated DC-DC power supply (5 Volts - 4 Amps),1,VK
Custom Power Cable,4-way JST power cable ,1,https://dirtypcbs.com/store/new_cables/edit/13071
M2.5 standoff (6 mm),6 mm socket-to-socket M2.5 standoffs,4,https://uk.farnell.com/wurth-elektronik/970060154/standoff-hex-female-female-6mm/dp/2987805
M2.5 screw,6 mm M2.5 thread screw ,8,https://www.accu.co.uk/pozi-pan-head-screws/9255-SPP-M2-5-6-A2
12V DC Power Supply,12V/2A - AC-DC transformer (UK/EU/USA plugs),1,https://uk.farnell.com/xp-power/ver24us120-ja/adaptor-ac-dc-12v-2a/dp/2643267
LED (Green),3 mm/20 mA green LED,2,https://uk.farnell.com/multicomp/mcl034gd/led-3mm-70-green/dp/1581114
LED (Red),3 mm/10 mA red LED,2,https://uk.farnell.com/multicomp-pro/mcl034pd/led-3mm-70-hi-red/dp/1581112
Cable (MicroUSB-2m),"USB Cable, Type A Plug to Micro Type B Plug, 2 m,  2.0",1,https://uk.farnell.com/multicomp/mc000950/cable-usb-2-0-a-micro-b-plug-2m/dp/2468268
