Part,Description,Quantity,Package,x(mm),y(mm),z(mm)
LED (Green),3 mm/2 mA green LED,2.0,Active,50.0,5.0,3.0
LM741,OpAmp,1.0,Active,5.0,5.0,3.0
LED (IR),Low power IR light emitting diode,2.0,Active,40.0,5.0,3.0
LM386N-4/NOPB,Audio-Amp,2.0,Active,5.0,5.0,3.0
LED (blue),Low power blue light emitting diode,2.0,Active,40.0,5.0,3.0
Diode,IN4001,2.0,Active,40.0,5.0,3.0
Gate (AND),4xAND gate,1.0,Active,10.0,20.0,8.0
Gate (NAND),4xNAND gate,2.0,Active,10.0,20.0,8.0
Gate (NOR),4xNOR gate,1.0,Active,10.0,20.0,8.0
Gate (OR),4xOR gate,1.0,Active,10.0,20.0,8.0
Gate (XOR),4xXOR gate,1.0,Active,10.0,20.0,8.0
H-bridge,H-bridge motor driver (SN754410NE),2.0,Active,8.0,25.0,6.0
LED (Red),5 mm/2 mA red LED,2.0,Active,50.0,5.0,3.0
MOSFET,Power MOSFET/N-channel (IRF510),2.0,Active,40.0,15.0,4.0
Photodiode,Visible (broadband) photodiode,2.0,Active,40.0,5.0,3.0
Photodiode (IR),IR sensitive photodiode,2.0,Active,40.0,5.0,3.0
Comparator,LM339 (DIP-14),2.0,Active,7.0,6.0,5.0
Lightbulb,Mini incandescent bulb (6 V),1.0,Active,25.0,10.0,5.0
NB3 Ear,I2S mems microphone breakout board,2.0,Audio,20.0,20.0,10.0
NB3 Mouth,I2S DAC-AMP breakout board,1.0,Audio,20.0,20.0,10.0
*M2.5 bolt (6),6 mm long M2.5 bolt,8.0,Hardware,5.0,5.0,6.0
M2 nut,regular M2 nut,4.0,Hardware,5.0,5.0,3.0
M2.5 nut,regular M2.5 nut,6.0,Hardware,5.0,5.0,3.0
M2.5 standoff (20/PS),20 mm long plug-to-socket M2.5 standoff,4.0,Hardware,5.0,5.0,20.0
M2.5 standoff (20/SS),20 mm long socket-to-socket M2.5 standoff,4.0,Hardware,5.0,5.0,20.0
M2.5 standoff (7/PS),7 mm long plug-to-socket M2.5 standoff,4.0,Hardware,5.0,5.0,7.0
M3 bolt (12),12 mm long M3 bolt,1.0,Hardware,5.0,5.0,12.0
