Name,Description,QTY,Datasheet,Supplier
,,,,
white,,,,
Computer (RPi4),Raspberry Pi 4b with 4 GB RAM,1,_data/datasheets/rpi4b_4gb.pdf,https://uk.farnell.com/raspberry-pi/rpi4-modbp-4gb/raspberry-pi-4-model-b-4gb/dp/3051887
Case,Silver aluminum heatsink case (Akasa Gem Pro),1,https://www.akasa.co.uk/search.php?seed=A-RA09-M2S,https://www.amazon.co.uk/gp/product/B089GVMK37/ref=ox_sc_act_title_1?smid=AHX2VT4JA3HIX&psc=1
Power supply,5V/3A (15W) USB Type-C power supply,1,_data/datasheets/rpi_power_supply_5V3A.pdf,https://uk.farnell.com/raspberry-pi/sc0212/rpi-power-supply-usb-c-5-1v-3a/dp/3106940
Cable (HDMI),micro to full HDMI cable (1 m),1,_data/datasheets/hdmi_cable_micro_1m.pdf,https://uk.farnell.com/raspberry-pi/t7689ax/cable-micro-hdmi-hdmi-plug-1m/dp/3107125
SD card,32 GB micro SD card,1,_data/datasheets/SanDisk-SDSQXCG-032G-GN6MA-datasheet.pdf,https://www.amazon.co.uk/dp/B06XYHN68L/ref=twister_B07J6Z8HHM?_encoding=UTF8&th=1&qty=15
Multimeter,(Sealy MM18) pocket digital multimeter,1,_data/datasheets/MM18_DFC0123042.pdf,https://www.ffx.co.uk/tools/product/Sealey-Mm18-5051747848412-Pocket-Multimeter
Test Lead,Alligator clip to 0.64 mm pin (20 cm),2,,https://www.amazon.co.uk/Oiyagai-Alligator-Crocodile-Arduino-Raspberry/dp/B07CXTSX8R/ref=sr_1_2?dchild=1&keywords=Oiyagai-Alligator-Crocodile-Arduino-Raspberry&qid=1598887302&s=computers&sr=1-2
Screwdriver,Phillips driver (size #1),1,_data/datasheets/screwdriver_phillips_1.pdf,https://uk.farnell.com/wera/118024/screwdriver-precision-ph1x80mm/dp/1337805
Camera (RPiHQ),Raspberry Pi high quality 12.3 MP camera,1,_data/datasheets/rpi_camera_hq.pdf,https://uk.farnell.com/raspberry-pi/rpi-hq-camera/rpi-high-quality-camera-12-3-mp/dp/3381605
Lens (6mm),CS-mount wide-angle lens (F1.2/FL 6 mm),1,_data/datasheets/lens_cs_mount_6mm.pdf,https://uk.farnell.com/raspberry-pi/rpi-6mm-lens/rpi-6mm-wide-angle-lens/dp/3381607
Tripod,Small tripod with camera mount (white),1,https://www.manfrotto.com/uk-en/pixi-mini-tripod-white-mtpixi-wh/,https://www.amazon.co.uk/Manfrotto-PIXI-Mini-Tripod-White/dp/B00GUND8XM
,,,,
electrons,,,,
Resistor,3 &Omega;/0.25 W,1,,
Resistor,220 &Omega;/0.25 W,1,,
Resistor,470 &Omega;/0.25 W,1,,
Resistor,1 k&Omega;/0.25 W,1,,
Breadboard (400),400-tie solderless breadboard,1,_data/datasheets/breadboard_400.pdf,https://uk.farnell.com/multicomp/mcbb400/breadboard-solderless-300v-abs/dp/2395961
Lightbulb,Mini incandescent bulb,1,,
Potentiometer,10 k&Omega; variable resistor,1,,
Magnet wire,Narrow gaurge epoxy insulated (1 m),1,,
Balloon,Any color-latex,1,,
Battery holder,4xAA battery holder with ON-OFF switch,1,,https://www.dfrobot.com/product-202.html
Jumper kit,Kit of multi-length 22 AWG breadboard jumpers,1,_data/datasheets/jumper_kit.pdf,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338
Jumper wires,Assorted 22 AWG jumper wire leads (male/female),1,_data/datasheets/jumper_wires.pdf,https://uk.farnell.com/multicomp/mcbbj65/jumper-wire-assortment-65pcs/dp/2396146
,,,,
sensors,,,,
Thermistor,Temperature sensitive resistor,1,,
Photoresistor,Light-dependent resistor,2,,
FSR,Force sensitive resistor,1,,
Pizeo,Pressure-depedent crystal,1,,
Microphone,Piezo mic element,1,,
,,,,
motors,,,,
DC Motor,Brushed DC motor,1,,
Whistle,Motor shaft attachment,1,,
,,,,
amplifiers,,,,
MOSFET,Power MOSFET/N-channel (IRF510),2,,
Diode,IN401,2,,
LED(blue),Low power blue light emitting diode,1,,
,,,,
reflexes,,,,
Motor,Brushed DC motor with gearbox - 6V/1:100/155 RPM with encoder (FIT0483),2,https://www.dfrobot.com/product-1433.html,https://www.dfrobot.com/product-1433.html
Body,Laser cut base (5 mm clear acrylic),1,,
Motor Mount,Motor mounts and mounting hardware (1089),2,https://www.pololu.com/product/1089,https://www.hobbytronics.co.uk/mm-gearmotor-bracket-ext
Wheels,60 mm x 8 mm wheels (black),2,https://www.pololu.com/product/1420,https://www.hobbytronics.co.uk/wheel-60-8mm
Caster,¾” metal ball caster,1,https://www.pololu.com/product/955,https://www.hobbytronics.co.uk/ball-caster-metal?keyword=caster
Cable,6-way JST cable to male pins,2,,
Spacer,5 mm spacer for mounting ball caster,3,,
Screws (caster),M2 25 mm screws for mounting ball caster to body via spacers,2,,
Screws (motor),M2 10 mm screws for mounting motor/mount to body,4,,
Nuts (motor),M2 nuts for mounting motor/mount to body,4,,
Breadboards (170),170-tie solderless breadboard,4,_data/datasheets/breadboard_170.pdf,https://uk.farnell.com/multicomp/mc001799/breadboard-34-5mm-x-45-5mm-white/dp/2770327
,,,,
decisions,,,,
Schmitt-Trigger,5V threshold switch,1,,
,,,,
data,,,,
Resistor Ladder,8 Resistor divider/ladder,1,,
,,,,
logic,,,,
Gate (AND),4xAND gate,1,,
Gate (OR),4xOR gate,1,,
Gate (NOT),4xNOT gate,1,,
,,,,
memory,,,,
D-Flip-Flop,4xDFF,2,,
,,,,
computers,,,,
Microcontroller,Arduino Nano (rev.3),1,_data/datasheets/arduino_nano_rev3.pdf,https://uk.farnell.com/arduino/a000005/arduino-nano-evaluation-board/dp/1848691
Cable (MiniUSB-1m),Mini-USB to Type-A cable (1 m),1,_data/datasheets/mini_USB_cable_1m.pdf,https://uk.farnell.com/molex/88732-8602/usb-cable-2-0-plug-plug-1m/dp/1221071
,,,,
behaviour,,,,
Cable (MiniUSB-15cm),Short mini-USB to Type-A cable (15 cm),1,,https://www.amazon.co.uk/gp/product/B0763PPY51
Switch,Bump sensors,2,,
Power supply,5V/3A (15W) USB Type-C power supply,1,_data/datasheets/rpi_power_supply_5V3A.pdf,https://uk.farnell.com/raspberry-pi/sc0212/rpi-power-supply-usb-c-5-1v-3a/dp/3106940
USB Adapter(C-Micro),USB type-C (female) to micro (male) adapter,1,,https://www.amazon.co.uk/Adapter-CHOETECH-Convert-Connector-Keyring-Black/dp/B07145W7WX
UPS,Uninterrupted power supply and battery charger,1,https://wiki.52pi.com/index.php/UPS_for_Raspberry_Pi_4B/3B+/3B_SKU:_EP-0114,https://www.amazon.co.uk/gp/product/B082KJJMP2
Battery (18650),Lithium-Ion 3.7V 3000 mAh 18650 battery,2,,https://www.amazon.co.uk/gp/product/B07TFSDKDV
USB Breakout,Type-A male USB breakout board,2,,https://www.amazon.co.uk/Adapter-Breakout-2-54mm-Header-Connector/dp/B07R9S9X32
Header,2.54 mm pitch male pin headers,2,,

systems,,,,
Computer (RPi4),Raspberry Pi 4b with 4 GB RAM,1,_data/datasheets/rpi4b_4gb.pdf,https://uk.farnell.com/raspberry-pi/rpi4-modbp-4gb/raspberry-pi-4-model-b-4gb/dp/3051887
Heatsinks,Heatsinks for RPi 4b chips,1,_data/datasheets/rpi4b_heatsinks.jpg,https://www.amazon.co.uk/gp/product/B07VRNT3HX
SD card,16 GB micro SD card,1,_data/datasheets/SanDisk-SDSQUAR-016G-GN6MA-datasheet.pdf,https://uk.farnell.com/sandisk/sdsquar-016g-gn6ma/memory-card-microsdhc-uhs-i-16gb/dp/2931924
Mic (MEMS), I2S mems microphone board (SPH0645),2,https://learn.adafruit.com/adafruit-i2s-mems-microphone-breakout/overview,https://www.adafruit.com/product/3421
Speaker,,,,
Amp (Audio), I2S amplifier (3W/4 Ohm),,,

,,,,
networks,,,,
Cable (Ethernet),RJ45 cact5e ethernet patch cable (1 m),1,_data/datasheets/ethernet_cable_1m.pdf,https://uk.farnell.com/pro-signal/ps11074/lead-patch-cat-5e-1-00m-black/dp/1734943
,,,,
vision,,,,
Camera (RPiv2),Raspberry Pi 8 MP camera,1,_data/datasheets/rpi_camera_v2.pdf,https://uk.farnell.com/raspberry-pi/rpi-8mp-camera-board/raspberry-pi-camera-board-v2/dp/2510728
Mount,Laser-cut camera mount,1,,
,,,,
learning,,,,
Clicker,Loud sound maker,1,,
,,,,
intelligence,,,,
NPU,Coral EdgeTPU USB Type-C,1,_data/datasheets/Coral-USB-Accelerator-datasheet.pdf,https://www.mouser.co.uk/ProductDetail/Coral/G950-01456-01?qs=sGAEpiMZZMu3sxpa5v1qrv9%252Bz890pMquX2qAISzny6s%3D
Cable (TypeC-USB 10 cm),Short FPC Type-C to Type-A USB cable (10 cm),1,,https://www.amazon.co.uk/mytysun-Charge-Design-Compatible-Samsung/dp/B08D3Q44L6
,,,,
